id,date,brand,p.1,f.1,d.1,p.2,f.2,d.2,p.3,f.3,d.3,p.4,f.4,d.4,p.5,f.5,d.5
4,9556,2,0.6899995804,0,0,0.6799998283,1,1,0.6899995804,0,0,0.6799998283,1,1,0.6499996185,0,0
4,9570,2,0.6899995804,0,0,0.5499997139,0,0,0.6899995804,0,0,0.5499997139,1,0,0.6499996185,0,0
4,9584,2,0.6899995804,0,0,0.6799998283,0,1,0.6899995804,0,0,0.6799998283,0,0,0.6499996185,0,0
4,9591,1,0.6799998283,1,0,0.6799998283,0,0,0.6799998283,1,0,0.6799998283,0,0,0.6499996185,0,0
4,9633,1,0.5499997139,1,0,0.6799998283,0,0,0.5499997139,0,0,0.6799998283,0,0,0.6499996185,0,0
4,9688,2,0.6899995804,0,0,0.5399999619,1,0,0.6899995804,0,0,0.5399999619,1,0,0.6499996185,0,0
4,9703,2,0.6899995804,0,0,0.6799998283,0,0,0.6899995804,0,0,0.6799998283,0,0,0.6499996185,0,0
4,9716,1,0.5499997139,1,0,0.7899999619,0,0,0.5499997139,1,0,0.5499997139,0,0,0.6499996185,0,0
4,9767,2,0.6899995804,0,0,0.6599998474,0,0,0.6899995804,0,0,0.6599998474,0,0,0.6499996185,0,0
4,9774,2,0.6899995804,0,0,0.6799998283,1,0,0.6899995804,0,0,0.6799998283,0,0,0.6499996185,0,0
4,9780,2,0.6899995804,0,0,0.5799999237,1,0,0.6899995804,0,0,0.5799999237,1,0,0.5899996758,0,0
